Fusion,Fusion-more,Batch Size,D-Type,Size,Para-Total,Epoch#,Para-Trainable,EpochType,AUC,threshold,accuracy,precision,recall,F1,TP,TN,FP,FN,TrainTime,ampSpeedUp_Train,smallSpeedUp_Train,ValTime,ampSpeedUp_Val,smallSpeedUp_Val,EpochTime,DataTime,ComputeTime,ampSpeedUp_Compute,smallSpeedUp_Compute,TrainThroughput,ampSpeedUp_TrainThroughput,smallSpeedUp_TrainThroughput,TrainPeakGPU,ampSpeedUp_TrainPeakGPU,smallSpeedUp_TrainPeakGPU,InferLatency,ampSpeedUp_InferLatency,smallSpeedUp_InferLatency,InferThroughput,ampSpeedUp_InferThroughput,smallSpeedUp_InferThroughput,InferPeakGPU,ampSpeedUp_InferPeakGPU,smallSpeedUp_InferPeakGPU
early,,2,amp,full,33082369,29,,bestAUC,0.894,0.319,0.853,0.875,0.824,0.848,14,15,2,3,26.749,1.446,5.168,4.465,1.239,3.214,31.214,0.123,0.401,1.633,4.437,3.268,1.416,4.754,10.802,1.918,4.128,0.058,1.607,4.208,17.269,1.607,4.208,5.626,1.889,4.090
early,,2,fp32,full,33082369,52,,bestLoss,0.813,0.783,0.765,1.000,0.529,0.692,9,17,0,8,38.676,,5.353,5.531,,3.496,44.207,0.102,0.655,,4.919,2.307,,5.019,20.719,,4.511,0.093,,4.567,10.748,,4.567,10.627,,4.472
late,,2,amp,full,66112129,60,,epoch60,0.856,0.340,0.794,0.813,0.765,0.788,13,14,3,4,42.060,,4.973,5.543,,3.498,47.603,0.093,0.732,,4.619,2.143,,4.740,21.124,,4.198,0.100,,4.845,10.024,,4.845,5.823,,3.491
late_opt,checkpoint,2,fp32,full,66038145,45,,epoch45,0.889,0.302,0.765,0.737,0.824,0.778,14,12,5,3,82.929,,,8.799,,,91.728,0.090,1.535,,,1.112,,,21.215,,,0.171,,,5.865,,,10.878,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
late,,1,fp32,full,66112129,16,,bestLoss,0.533,0.519,0.588,1.000,0.176,0.300,3,17,0,14,68.673,,,10.174,,,78.846,0.083,0.590,,,1.294,,,20.277,,,0.172,,,5.804,,,5.684,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,t1,2,amp,full,33060417,60,,epoch60,0.824,0.386,0.765,0.909,0.588,0.714,10,16,1,7,23.451,1.515,4.417,3.459,1.505,2.591,26.910,0.087,0.372,1.555,4.386,3.790,1.514,4.050,10.685,1.932,4.121,0.050,1.706,2.926,20.096,1.706,2.926,5.431,1.928,4.062
single,t1,2,fp32,full,33060417,46,,bestLoss,0.796,0.376,0.765,0.846,0.647,0.733,11,15,2,6,35.530,,5.689,5.206,,3.573,40.735,0.117,0.579,,5.190,2.504,,5.289,20.641,,4.509,0.085,,3.698,11.781,,3.698,10.471,,4.465
single,flair,2,amp,full,33060417,60,,epoch60,0.858,0.742,0.765,1.000,0.529,0.692,9,17,0,8,23.520,1.492,4.400,3.498,1.487,2.676,27.018,0.088,0.373,1.548,4.358,3.775,1.491,4.061,10.685,1.932,4.121,0.050,1.737,2.584,20.085,1.737,2.584,5.431,1.928,4.062
single,flair,2,fp32,full,33060417,60,,epoch60,0.872,0.543,0.824,0.867,0.765,0.813,13,15,2,4,35.082,,5.652,5.204,,3.441,40.286,0.110,0.577,,5.205,2.532,,5.219,20.641,,4.509,0.086,,3.329,11.561,,3.329,10.471,,4.465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early,,2,amp,small,33082369,60,,epoch60,0.824,0.459,0.735,0.750,0.706,0.727,12,13,4,5,5.176,1.396,,1.389,1.139,,6.565,0.011,0.090,1.473,,15.536,1.341,,2.617,1.755,,0.014,1.480,,72.671,1.480,,1.376,1.728,
early,,2,fp32,small,33082369,39,,bestAUC,0.758,0.545,0.794,1.000,0.588,0.741,10,17,0,7,7.225,,,1.582,,,8.807,0.008,0.133,,,11.581,,,4.593,,,0.020,,,49.087,,,2.376,,
late,,2,amp,small,66112129,60,,bestLoss,0.768,0.328,0.794,0.857,0.706,0.774,12,15,2,5,8.458,1.462,,1.585,1.075,,10.043,0.007,0.158,1.478,,10.157,1.401,,5.033,1.723,,0.021,1.617,,48.562,1.617,,1.668,1.576,
late,,2,fp32,small,66112129,30,,bestLoss,0.792,0.424,0.735,0.786,0.647,0.710,11,14,3,6,12.366,,,1.703,,,14.069,0.008,0.234,,,7.250,,,8.672,,,0.033,,,30.037,,,2.629,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,t1,2,amp,small,33060417,45,,epoch45,0.737,0.623,0.735,0.833,0.588,0.690,10,15,2,7,5.310,1.176,,1.335,1.091,,6.644,0.019,0.085,1.314,,15.351,1.159,,2.593,1.765,,0.017,1.350,,58.796,1.350,,1.337,1.754,
single,t1,2,fp32,small,33060417,60,,epoch60,0.775,0.352,0.735,0.833,0.588,0.690,10,15,2,7,6.246,,,1.457,,,7.702,0.010,0.112,,,13.243,,,4.578,,,0.023,,,43.562,,,2.345,,
single,flair,2,amp,small,33060417,29,,bestLoss,0.848,0.636,0.853,0.929,0.765,0.839,13,16,1,4,5.346,1.161,,1.307,1.157,,6.653,0.019,0.086,1.296,,15.331,1.160,,2.593,1.765,,0.019,1.348,,51.891,1.348,,1.337,1.754,
single,flair,2,fp32,small,33060417,45,,epoch45,0.837,0.672,0.824,1.000,0.647,0.786,11,17,0,6,6.207,,,1.512,,,7.719,0.010,0.111,,,13.213,,,4.578,,,0.026,,,38.484,,,2.345,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,average,1.378,5.093,,1.242,3.213,,,,1.471,4.731,,1.355,4.733,,1.827,4.299,,1.549,3.737,,1.549,3.737,,1.794,4.158
,,,,,,,,,,,,,,,,,,,SEM,0.056,0.201,,0.069,0.156,,,,0.047,0.140,,0.055,0.192,,0.036,0.075,,0.060,0.320,,0.060,0.320,,0.049,0.134
,,,,,,,,,,,,,,,,,,,n,7,7,,7,7,,,,7,7,,7,7,,7,7,,7,7,,7,7,,7,7
